mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.052858,-0.024102,-0.133222
21,107,1512795996.056600,64,48,1001,-0.071023,-0.031806,-0.177100
20,105,1512795995.653100,64,48,1003,-0.066743,-0.029447,-0.167533
23,111,1512795996.871600,64,48,1004,-0.049346,-0.024622,-0.156838
49,154,1512796005.511600,64,48,926,-0.021744,-0.028438,-0.149031
48,153,1512796005.315900,64,48,968,-0.021792,-0.022127,-0.139693
50,156,1512796005.917500,64,48,954,-0.020422,-0.008444,-0.130432
58,172,1512796009.117800,64,48,1000,-0.008626,-0.001341,0.010519
63,180,1512796010.743800,64,48,1002,-0.001411,0.001473,0.019482
64,182,1512796011.143500,64,48,1002,-0.002491,0.001595,0.016085
65,184,1512796011.535000,64,48,1003,-0.004257,0.000274,0.010556
86,229,1512796020.680800,64,48,994,-0.023381,-0.016929,-0.092346
85,227,1512796020.271600,64,48,1002,-0.020983,-0.013155,-0.070667
